noise,training_size,accuracy
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9333333333333333
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9333333333333333
0.058,50,1.0
0.058,50,0.9333333333333333
0.058,50,0.9
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,0.9333333333333333
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9666666666666667
0.058,50,1.0
0.058,50,1.0
0.058,50,0.9
0.058,50,1.0
