R,tau,capacity,hidden_neurons
1,0,0.999564492381018,3
1,0,0.9975625166379559,3
1,0,0.9985569132714355,3
1,0,0.9994687619485336,3
1,0,0.9995218036787656,3
1,0,0.999351057238545,3
1,0,0.9997730294984117,3
1,0,0.9982409491644986,3
1,0,0.9995662192739413,3
1,0,0.9993513611629015,3
1,0,0.9990371249978941,3
1,1,0.9923380983349797,3
1,1,0.9954864453836818,3
1,1,0.9915355125324152,3
1,1,0.9970879651000906,3
1,1,0.9945578686484088,3
1,1,0.9953288426200452,3
1,1,0.9937720619380727,3
1,1,0.9923143171240529,3
1,1,0.9946774617065042,3
1,1,0.9763235189151357,3
1,1,0.989597417756454,3
1,1,0.9913930613432642,3
1,1,0.9961154870686807,3
1,1,0.9944339433374147,3
1,1,0.9973900626629562,3
1,1,0.9962085811502871,3
1,1,0.9884451795199968,3
1,1,0.9882954003498904,3
1,1,0.9926987234757771,3
1,1,0.9926234462211042,3
1,1,0.9913228941568788,3
1,1,0.9936783592578785,3
1,1,0.9970948056651954,3
1,1,0.9967841369914688,3
1,1,0.9853957688205779,3
1,2,0.9848295694273261,3
1,2,0.993313516296891,3
1,2,0.9845112400685297,3
1,2,0.9911885911657525,3
1,2,0.9835116773254996,3
1,2,0.9879911569072618,3
1,2,0.9747838264539435,3
1,2,0.9845167256384463,3
1,2,0.995106525140199,3
1,2,0.985331235910648,3
1,2,0.9935830545925122,3
1,2,0.9400098430591045,3
1,2,0.9849291804018069,3
1,2,0.5767241462069941,3
1,2,0.9950169936888341,3
1,2,0.9840274619826426,3
1,2,0.9664454532260194,3
1,2,0.9786814350754383,3
1,2,0.9685319936556697,3
1,2,0.980119337291578,3
1,2,0.9837378978615966,3
1,2,0.9916936619515325,3
1,2,0.9757839103444794,3
1,2,0.9939361655795749,3
1,2,0.9775810133432671,3
1,3,0.09462858581192926,3
1,3,0.5854899518305215,3
1,3,0.03434957659025146,3
1,3,0.9217118955880074,3
1,3,0.28650314780139,3
1,3,0.10533575131842976,3
1,3,0.6358112246299036,3
1,3,0.16075515204311086,3
1,3,0.3923024469910638,3
1,3,0.12046495610952697,3
1,3,0.09801908943436372,3
1,3,0.17068802523884305,3
1,3,0.5190304767681556,3
1,3,0.5362309531384262,3
1,3,0.5460067725567248,3
1,3,0.29975913134651416,3
1,3,0.3439840845329569,3
1,3,0.914267046578197,3
1,3,0.2520591553158651,3
1,3,0.24537946378858919,3
