N,n,trial,tau,accuracy,corrcoeff
5,6,3,5,0.42,0.021432130647050386
5,6,4,0,1.0,0.9999999999974314
5,6,4,1,1.0,0.9999998108576621
5,6,4,2,1.0,0.9999852735818453
5,6,4,3,1.0,0.9558655536642942
5,6,4,4,0.68,0.056836427907491716
5,6,4,5,0.54,0.012293678574807267
5,6,5,0,1.0,0.9999999999714129
5,6,5,1,1.0,0.9999975201679743
5,6,5,2,1.0,0.9998701679436873
5,6,5,3,1.0,0.9286668965703414
5,6,5,4,0.88,0.5325573016298771
5,6,5,5,0.56,3.250786197813476e-05
5,6,6,0,1.0,0.9999999999999996
5,6,6,1,1.0,0.999999999960212
5,6,6,2,1.0,0.9999960855928055
5,6,6,3,1.0,0.9965401641418491
5,6,6,4,0.42,0.002601810880432265
5,6,6,5,0.6,0.004921718110757744
5,6,7,0,1.0,0.9999999999999749
5,6,7,1,1.0,0.9999998431591522
5,6,7,2,1.0,0.9993868544982897
5,6,7,3,1.0,0.9247372200519511
5,6,7,4,0.94,0.21587724631215313
5,6,7,5,0.52,0.0013054923209604794
5,6,8,0,1.0,0.9999999999999096
5,6,8,1,1.0,0.9999999752489787
5,6,8,2,1.0,0.9997813519631503
5,6,8,3,1.0,0.9530262102626181
5,6,8,4,0.7,0.2855653680054799
5,6,8,5,0.64,0.07907372116558863
5,6,9,0,1.0,0.9999999999999991
5,6,9,1,1.0,0.9999999993412518
5,6,9,2,1.0,0.9999488266970925
5,6,9,3,1.0,0.9924251278096158
5,6,9,4,0.68,0.2478120469243393
5,6,9,5,0.38,0.11567582742307368
