R,tau,capacity
3,1,0.4163449041684375
3,1,0.39490949253302365
3,1,0.4493258410426001
3,1,0.5248239445710815
3,1,0.5234548864610196
3,1,0.25234133086844146
3,1,0.4508404018297294
3,1,0.5101277327181523
3,1,0.3957129646057549
3,1,0.47667379675091975
3,1,0.45889786068461075
3,1,0.1775325954475949
3,1,0.4779988294930837
3,1,0.20916801900699292
3,2,0.04987547859981517
3,2,0.12480510032651868
3,2,0.008244038427298116
3,2,0.1739787778718199
3,2,0.007527371279040333
3,2,0.0024771871250187823
3,2,0.03570505635469459
3,2,0.016475066357979358
3,2,0.09747850170722422
3,2,0.04353790526095274
3,2,0.11674491862872856
3,2,0.03692075418596744
3,2,0.06195069446794749
3,2,0.06414799301526702
3,2,0.005108756699897531
3,2,0.01566554109004371
3,2,0.06102310207500039
3,2,0.10885860754606722
3,2,0.002078184807332848
3,2,0.0016548725488131708
3,2,0.012768820260644798
3,2,0.16740281692204703
3,2,0.003204617013994365
3,2,0.0007294845139971021
3,2,0.0032951584224612815
3,2,0.01717994985979539
3,2,0.02259917500333065
3,2,0.17792554038012984
3,2,0.00770214961889544
3,2,0.014251852049446555
3,3,0.1746728720858707
3,3,3.722502047249036e-06
3,3,0.11407002070360792
3,3,0.031323211179756665
3,3,0.2281786422442933
3,3,0.02212219441652103
3,3,0.04911077780655174
3,3,0.10366679126193805
3,3,0.005361202716636316
3,3,0.0618776045370894
3,3,0.0015918477709229828
3,3,0.0003631449415791581
3,3,0.023989655236484483
3,3,0.07462584534598095
3,3,0.051531942866140164
3,3,0.028258885230341757
3,3,0.00026821472638360725
3,3,0.00032819971191735476
3,3,8.48603202481837e-07
3,3,0.10761396104227612
3,3,0.07144410299605909
3,3,0.017441098955089746
3,3,0.03997486168074423
3,3,0.008234376437790755
3,3,0.0008431134371163227
3,3,0.020555061706719398
3,3,0.00018401411531673154
3,3,0.001235010643216118
3,3,0.1128956851846423
3,3,0.25491070056031123
5,0,0.9451584102996701
5,0,0.9585071986331779
5,0,0.9474766016710707
5,0,0.9526773044397194
5,0,0.9590113203926521
5,0,0.9362447424521161
5,0,0.9413346123636581
5,0,0.9453227274141284
5,0,0.9603600958461516
5,0,0.9449665482327279
5,0,0.9331305241018214
5,0,0.9691934449908923
5,0,0.9684037914903416
5,0,0.9506588152587365
5,0,0.9397388670488471
5,0,0.9266322247109806
5,0,0.9685842457206075
5,0,0.9356864170610635
5,0,0.9194588837308778
5,0,0.9193502542776572
5,0,0.8793915007542105
5,0,0.9530478498718953
5,0,0.9456504289356966
5,0,0.9352152430863767
5,0,0.9510014176346977
5,0,0.9472689536651964
5,0,0.9655633840743376
5,0,0.9543208154740076
5,0,0.9345023523474101
