label,trial,nmse,num_modes,dimension,dataset
General Encoding,3,5.0962296163600694e-05,10,55,Double-scroll
General Encoding,4,7.91391714147594e-05,10,55,Double-scroll
General Encoding,5,0.00013429042347560508,10,55,Double-scroll
General Encoding,6,5.6195659666494335e-05,10,55,Double-scroll
General Encoding,7,0.0001071439639242943,10,55,Double-scroll
General Encoding,8,5.519581082322515e-05,10,55,Double-scroll
General Encoding,9,2.2346059397952878e-05,10,55,Double-scroll
General Encoding,10,6.35154345001832e-05,10,55,Double-scroll
General Encoding,11,0.00012606834737734912,10,55,Double-scroll
General Encoding,12,0.0003082298304356212,10,55,Double-scroll
General Encoding,13,3.195835748205853e-05,10,55,Double-scroll
General Encoding,14,0.00042324019521309197,10,55,Double-scroll
General Encoding,15,9.82882328859557e-05,10,55,Double-scroll
General Encoding,16,7.949251222979924e-05,10,55,Double-scroll
General Encoding,17,0.00019225306688226926,10,55,Double-scroll
General Encoding,18,6.027816974314708e-05,10,55,Double-scroll
General Encoding,19,4.543050614355413e-05,10,55,Double-scroll
General Encoding,20,2.5353704035139272e-05,10,55,Double-scroll
General Encoding,21,5.2501769661233154e-05,10,55,Double-scroll
General Encoding,22,3.143366884004094e-05,10,55,Double-scroll
General Encoding,23,2.475441975210545e-05,10,55,Double-scroll
General Encoding,24,7.831778661086418e-05,10,55,Double-scroll
General Encoding,0,0.0003245130059838068,12,78,Double-scroll
General Encoding,1,3.955402542785512e-05,12,78,Double-scroll
General Encoding,2,4.597121947541184e-05,12,78,Double-scroll
General Encoding,3,4.245556551133779e-05,12,78,Double-scroll
General Encoding,4,3.193085036220137e-05,12,78,Double-scroll
General Encoding,5,3.69696866870176e-05,12,78,Double-scroll
General Encoding,6,4.2704089321776344e-05,12,78,Double-scroll
General Encoding,7,3.535527153471424e-05,12,78,Double-scroll
General Encoding,8,2.7977452127555447e-05,12,78,Double-scroll
General Encoding,9,1.3943337038190681e-05,12,78,Double-scroll
General Encoding,10,3.679913834318401e-05,12,78,Double-scroll
General Encoding,11,8.372354324022263e-05,12,78,Double-scroll
General Encoding,12,0.00015089157041700253,12,78,Double-scroll
General Encoding,13,1.5636085497039265e-05,12,78,Double-scroll
General Encoding,14,0.00023253911166608993,12,78,Double-scroll
General Encoding,15,3.388585594848416e-05,12,78,Double-scroll
General Encoding,16,5.2467939312832936e-05,12,78,Double-scroll
General Encoding,17,4.356742654432005e-05,12,78,Double-scroll
General Encoding,18,5.5437255775535434e-05,12,78,Double-scroll
General Encoding,19,3.06314169295906e-05,12,78,Double-scroll
