dataset,label,nmse,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
Lorenz,ESN,5.632945964648333e-06,[0.99999967 0.99999069 0.99999299],60.0,0.7,0.8,0.1,0.05,,,,,,
Lorenz,ESN,5.9159674494399444e-06,[0.99999969 0.99999122 0.99999107],60.0,0.7,0.8,0.1,0.1,,,,,,
Lorenz,ESN,8.218108272865437e-06,[0.99999937 0.99998172 0.99999254],60.0,0.7,0.8,0.1,0.15,,,,,,
Lorenz,ESN,6.804188700140517e-06,[0.99999974 0.99999115 0.99998859],60.0,0.7,0.8,0.1,0.2,,,,,,
Lorenz,ESN,0.000480132781905108,[0.99994502 0.99960887 0.99905899],60.0,0.7,0.8,0.5,0.0,,,,,,
Lorenz,ESN,0.0005115749663932831,[0.99986036 0.99961739 0.99902994],60.0,0.7,0.8,0.5,0.05,,,,,,
Lorenz,ESN,0.00031853827641226704,[0.99987687 0.99989108 0.99930218],60.0,0.7,0.8,0.5,0.1,,,,,,
Lorenz,ESN,0.0003642311195868092,[0.99986462 0.99981371 0.99925459],60.0,0.7,0.8,0.5,0.15,,,,,,
Lorenz,ESN,0.0003345290224184462,[0.99992162 0.9998294  0.99929886],60.0,0.7,0.8,0.5,0.2,,,,,,
Lorenz,ESN,0.002608000575329683,[0.99902501 0.99791318 0.99525667],60.0,0.7,0.8,1.0,0.0,,,,,,
Lorenz,ESN,0.002183197827283943,[0.99897451 0.99833255 0.99614446],60.0,0.7,0.8,1.0,0.05,,,,,,
Lorenz,ESN,0.0022549430030286135,[0.99883166 0.99888093 0.99557344],60.0,0.7,0.8,1.0,0.1,,,,,,
Lorenz,ESN,0.0024529679047128636,[0.99871173 0.9988948  0.99527512],60.0,0.7,0.8,1.0,0.15,,,,,,
Lorenz,ESN,0.002559645402799087,[0.99898584 0.9982185  0.99530317],60.0,0.7,0.8,1.0,0.2,,,,,,
Lorenz,ESN,0.0054150589894331755,[0.9951033  0.99689884 0.99145869],60.0,0.7,0.8,1.5,0.0,,,,,,
Lorenz,ESN,0.00694556854518618,[0.99578519 0.99715849 0.98638919],60.0,0.7,0.8,1.5,0.05,,,,,,
Lorenz,ESN,0.005824443846258247,[0.99477967 0.99771937 0.98999162],60.0,0.7,0.8,1.5,0.1,,,,,,
Lorenz,ESN,0.005215632966262128,[0.99604787 0.99749705 0.99117054],60.0,0.7,0.8,1.5,0.15,,,,,,
Lorenz,ESN,0.004916696688370699,[0.99658132 0.99685572 0.99187945],60.0,0.7,0.8,1.5,0.2,,,,,,
Lorenz,ESN,0.009105295301870936,[0.99253597 0.99483127 0.98488001],60.0,0.7,0.8,2.0,0.0,,,,,,
Lorenz,ESN,0.01142561287294011,[0.9929535  0.99516172 0.97785935],60.0,0.7,0.8,2.0,0.05,,,,,,
Lorenz,ESN,0.010378541476911795,[0.99064297 0.99543583 0.98244134],60.0,0.7,0.8,2.0,0.1,,,,,,
Lorenz,ESN,0.010338293804674435,[0.99111024 0.99528834 0.98250857],60.0,0.7,0.8,2.0,0.15,,,,,,
Lorenz,ESN,0.010413675701137005,[0.99102836 0.99427595 0.98319454],60.0,0.7,0.8,2.0,0.2,,,,,,
Lorenz,ESN,0.01408381799244672,[0.98917281 0.99225792 0.97593957],60.0,0.7,0.8,2.5,0.0,,,,,,
Lorenz,ESN,0.0170290934242431,[0.98829378 0.99227066 0.96852248],60.0,0.7,0.8,2.5,0.05,,,,,,
Lorenz,ESN,0.01642083748953204,[0.98482978 0.99234766 0.97287455],60.0,0.7,0.8,2.5,0.1,,,,,,
Lorenz,ESN,0.017037525491497802,[0.98461341 0.99264556 0.97108322],60.0,0.7,0.8,2.5,0.15,,,,,,
Lorenz,ESN,0.01798720960156349,[0.98289992 0.99153452 0.97103088],60.0,0.7,0.8,2.5,0.2,,,,,,
Lorenz,ESN,0.0203572058377235,[0.98348227 0.98882051 0.96601822],60.0,0.7,0.8,3.0,0.0,,,,,,
Lorenz,ESN,0.023236787723277516,[0.98182562 0.98909129 0.95910266],60.0,0.7,0.8,3.0,0.05,,,,,,
Lorenz,ESN,0.02335830866951198,[0.97677705 0.98879557 0.96297238],60.0,0.7,0.8,3.0,0.1,,,,,,
Lorenz,ESN,0.024173992844125296,[0.97694141 0.98860812 0.96070949],60.0,0.7,0.8,3.0,0.15,,,,,,
Lorenz,ESN,0.02555769323762112,[0.97385448 0.98833331 0.95989205],60.0,0.7,0.8,3.0,0.2,,,,,,
Lorenz,ESN,0.025992178324603404,[0.97658449 0.98504938 0.95898411],60.0,0.7,0.8,3.5,0.0,,,,,,
Lorenz,ESN,0.0288927970265278,[0.9744321  0.98564594 0.95208188],60.0,0.7,0.8,3.5,0.05,,,,,,
Lorenz,ESN,0.02948808257332282,[0.96845779 0.98504621 0.95559134],60.0,0.7,0.8,3.5,0.1,,,,,,
Lorenz,ESN,0.030708912019213094,[0.96946148 0.98372014 0.95254785],60.0,0.7,0.8,3.5,0.15,,,,,,
Lorenz,ESN,0.03248377399358151,[0.96534328 0.98408719 0.95081338],60.0,0.7,0.8,3.5,0.2,,,,,,
Lorenz,ESN,0.030606135912476694,[0.96954912 0.98131241 0.95477056],60.0,0.7,0.8,4.0,0.0,,,,,,
Lorenz,ESN,0.03409707938109564,[0.96689504 0.98172907 0.946739  ],60.0,0.7,0.8,4.0,0.05,,,,,,
Lorenz,ESN,0.03502403375586443,[0.96067383 0.98070145 0.94985181],60.0,0.7,0.8,4.0,0.1,,,,,,
Lorenz,ESN,0.036699710186293484,[0.96264893 0.97835117 0.94566979],60.0,0.7,0.8,4.0,0.15,,,,,,
Lorenz,ESN,0.03859377245301611,[0.95814663 0.97885109 0.94369133],60.0,0.7,0.8,4.0,0.2,,,,,,
Lorenz,ESN,0.03493425885557961,[0.96276193 0.97755811 0.95106562],60.0,0.7,0.8,4.5,0.0,,,,,,
Lorenz,ESN,0.03932041738684912,[0.959724   0.97736565 0.9413317 ],60.0,0.7,0.8,4.5,0.05,,,,,,
Lorenz,ESN,0.04052899644484765,[0.95351121 0.97567126 0.94420169],60.0,0.7,0.8,4.5,0.1,,,,,,
Lorenz,ESN,0.04256386290534925,[0.95631912 0.97252404 0.93897368],60.0,0.7,0.8,4.5,0.15,,,,,,
Lorenz,ESN,0.044221101334194726,[0.95189966 0.97286182 0.93762871],60.0,0.7,0.8,4.5,0.2,,,,,,
Lorenz,ESN,0.039548059669366864,[0.95633364 0.97360457 0.94635686],60.0,0.7,0.8,5.0,0.0,,,,,,
Lorenz,ESN,0.04472916480209264,[0.95320512 0.97272508 0.93506714],60.0,0.7,0.8,5.0,0.05,,,,,,
Lorenz,ESN,0.04614227675679958,[0.9470397  0.97030217 0.93795048],60.0,0.7,0.8,5.0,0.1,,,,,,
Lorenz,ESN,0.048353838328596306,[0.95049509 0.96656693 0.93207396],60.0,0.7,0.8,5.0,0.15,,,,,,
Lorenz,ESN,0.04959717015826032,[0.94640184 0.96655809 0.93179796],60.0,0.7,0.8,5.0,0.2,,,,,,
Lorenz,ESN,1.4546816165193019e-05,[0.9999984  0.99997264 0.99998344],60.0,0.7,0.85,0.1,0.0,,,,,,
Lorenz,ESN,8.538994032332914e-06,[0.99999942 0.9999836  0.99999097],60.0,0.7,0.85,0.1,0.05,,,,,,
Lorenz,ESN,1.0282027065353206e-05,[0.99999952 0.99998794 0.99998194],60.0,0.7,0.85,0.1,0.1,,,,,,
Lorenz,ESN,1.618643801904577e-05,[0.99999878 0.99996513 0.99998517],60.0,0.7,0.85,0.1,0.15,,,,,,
Lorenz,ESN,1.0649830431731207e-05,[0.99999967 0.99998914 0.99997967],60.0,0.7,0.85,0.1,0.2,,,,,,
Lorenz,ESN,0.0005422593112162456,[0.99992295 0.99965637 0.99885774],60.0,0.7,0.85,0.5,0.0,,,,,,
Lorenz,ESN,0.0005387428408449343,[0.99985503 0.99962106 0.99895475],60.0,0.7,0.85,0.5,0.05,,,,,,
Lorenz,ESN,0.0003477892606681204,[0.99988297 0.99987072 0.99922895],60.0,0.7,0.85,0.5,0.1,,,,,,
Lorenz,ESN,0.0004141500351828608,[0.99986973 0.99972104 0.99918276],60.0,0.7,0.85,0.5,0.15,,,,,,
Lorenz,ESN,0.0004181267202603258,[0.99989182 0.9997768  0.99914437],60.0,0.7,0.85,0.5,0.2,,,,,,
Lorenz,ESN,0.002885537740771868,[0.99906248 0.9976061  0.9946839 ],60.0,0.7,0.85,1.0,0.0,,,,,,
Lorenz,ESN,0.0023627970131690186,[0.99896517 0.99804184 0.9958795 ],60.0,0.7,0.85,1.0,0.05,,,,,,
Lorenz,ESN,0.0025291873808815472,[0.99879002 0.99869295 0.9950021 ],60.0,0.7,0.85,1.0,0.1,,,,,,
Lorenz,ESN,0.002856347392674881,[0.99856512 0.99873911 0.99439061],60.0,0.7,0.85,1.0,0.15,,,,,,
Lorenz,ESN,0.0031345447299066334,[0.99888415 0.9980929  0.9939299 ],60.0,0.7,0.85,1.0,0.2,,,,,,
Lorenz,ESN,0.005534587105819032,[0.99488654 0.99664417 0.99155053],60.0,0.7,0.85,1.5,0.0,,,,,,
Lorenz,ESN,0.007101249343245906,[0.99543812 0.99702779 0.98634237],60.0,0.7,0.85,1.5,0.05,,,,,,
Lorenz,ESN,0.006019396361865753,[0.99442645 0.99762054 0.98983843],60.0,0.7,0.85,1.5,0.1,,,,,,
Lorenz,ESN,0.005423799430150818,[0.99606666 0.99741342 0.99069964],60.0,0.7,0.85,1.5,0.15,,,,,,
Lorenz,ESN,0.005338681719495418,[0.99667759 0.99650478 0.99102299],60.0,0.7,0.85,1.5,0.2,,,,,,
Lorenz,ESN,0.009354117904845595,[0.99149985 0.9945486  0.98528588],60.0,0.7,0.85,2.0,0.0,,,,,,
Lorenz,ESN,0.011640662567446357,[0.99241498 0.99509722 0.97772525],60.0,0.7,0.85,2.0,0.05,,,,,,
Lorenz,ESN,0.01060758260595093,[0.98992094 0.99541191 0.98244904],60.0,0.7,0.85,2.0,0.1,,,,,,
Lorenz,ESN,0.010129508725302189,[0.99123045 0.99522807 0.98317403],60.0,0.7,0.85,2.0,0.15,,,,,,
Lorenz,ESN,0.010200774203784724,[0.9916966  0.99406849 0.98350706],60.0,0.7,0.85,2.0,0.2,,,,,,
Lorenz,ESN,0.013934649943083185,[0.98856194 0.99217414 0.97690075],60.0,0.7,0.85,2.5,0.0,,,,,,
Lorenz,ESN,0.01692316523202317,[0.988079   0.99222159 0.96903092],60.0,0.7,0.85,2.5,0.05,,,,,,
Lorenz,ESN,0.01614720205893695,[0.98444589 0.9924037  0.9739009 ],60.0,0.7,0.85,2.5,0.1,,,,,,
Lorenz,ESN,0.016607896088180044,[0.98470081 0.99273953 0.97217426],60.0,0.7,0.85,2.5,0.15,,,,,,
Lorenz,ESN,0.01754980306552532,[0.98361206 0.99133917 0.97185485],60.0,0.7,0.85,2.5,0.2,,,,,,
Lorenz,ESN,0.0199779469983751,[0.98343198 0.98893881 0.96702312],60.0,0.7,0.85,3.0,0.0,,,,,,
Lorenz,ESN,0.02301126994814693,[0.98199597 0.98900778 0.95971657],60.0,0.7,0.85,3.0,0.05,,,,,,
Lorenz,ESN,0.02282303776925626,[0.97691744 0.98889354 0.96430679],60.0,0.7,0.85,3.0,0.1,,,,,,
Lorenz,ESN,0.023558767118483502,[0.97735927 0.98909871 0.96171279],60.0,0.7,0.85,3.0,0.15,,,,,,
Lorenz,ESN,0.025109201279331805,[0.97468214 0.98841744 0.96047249],60.0,0.7,0.85,3.0,0.2,,,,,,
Lorenz,ESN,0.025739880127107994,[0.97689029 0.98528428 0.95931128],60.0,0.7,0.85,3.5,0.0,,,,,,
Lorenz,ESN,0.02866630569475838,[0.97497219 0.98570307 0.95234402],60.0,0.7,0.85,3.5,0.05,,,,,,
Lorenz,ESN,0.028931758042371,[0.9690231  0.98534211 0.95653482],60.0,0.7,0.85,3.5,0.1,,,,,,
Lorenz,ESN,0.0300175745647319,[0.97018803 0.98448808 0.95331254],60.0,0.7,0.85,3.5,0.15,,,,,,
Lorenz,ESN,0.032117017193686044,[0.96618556 0.98459901 0.95084154],60.0,0.7,0.85,3.5,0.2,,,,,,
Lorenz,ESN,0.030409816349768047,[0.97010904 0.9816601  0.9546993 ],60.0,0.7,0.85,4.0,0.0,,,,,,
Lorenz,ESN,0.03374418944831985,[0.96776569 0.98207915 0.9468995 ],60.0,0.7,0.85,4.0,0.05,,,,,,
Lorenz,ESN,0.03436020470617175,[0.96158506 0.98138445 0.95054207],60.0,0.7,0.85,4.0,0.1,,,,,,
Lorenz,ESN,0.0358847048898039,[0.96370004 0.97940063 0.94634818],60.0,0.7,0.85,4.0,0.15,,,,,,
Lorenz,ESN,0.038266849095852894,[0.95908069 0.97979344 0.94322576],60.0,0.7,0.85,4.0,0.2,,,,,,
Lorenz,ESN,0.03455701230052564,[0.96360649 0.97810522 0.95116075],60.0,0.7,0.85,4.5,0.0,,,,,,
Lorenz,ESN,0.038712493869648625,[0.96087296 0.97805007 0.94174837],60.0,0.7,0.85,4.5,0.05,,,,,,
Lorenz,ESN,0.03967409609054667,[0.95467407 0.97672941 0.94494457],60.0,0.7,0.85,4.5,0.1,,,,,,
Lorenz,ESN,0.041585986463551126,[0.95763641 0.97383056 0.93975885],60.0,0.7,0.85,4.5,0.15,,,,,,
Lorenz,ESN,0.04380845727679772,[0.95302052 0.97418567 0.93701427],60.0,0.7,0.85,4.5,0.2,,,,,,
Lorenz,ESN,0.03884917217231515,[0.95747306 0.97442313 0.94692694],60.0,0.7,0.85,5.0,0.0,,,,,,
Lorenz,ESN,0.04385239290010472,[0.95454842 0.97371192 0.93585022],60.0,0.7,0.85,5.0,0.05,,,,,,
Lorenz,ESN,0.045092260215627525,[0.94834741 0.97160219 0.93893004],60.0,0.7,0.85,5.0,0.1,,,,,,
Lorenz,ESN,0.04728151288103879,[0.95191394 0.96796648 0.93300942],60.0,0.7,0.85,5.0,0.15,,,,,,
Lorenz,ESN,0.049039480008973936,[0.94766194 0.96810509 0.93134833],60.0,0.7,0.85,5.0,0.2,,,,,,
Lorenz,ESN,2.738833826647375e-05,[0.99999535 0.99995465 0.99996468],60.0,0.7,0.9,0.1,0.0,,,,,,
Lorenz,ESN,1.4990664426920945e-05,[0.99999894 0.99996934 0.99998559],60.0,0.7,0.9,0.1,0.05,,,,,,
Lorenz,ESN,1.601250580405309e-05,[0.99999906 0.99998329 0.99996997],60.0,0.7,0.9,0.1,0.1,,,,,,
Lorenz,ESN,3.276243923187003e-05,[0.99999751 0.9999305  0.99997166],60.0,0.7,0.9,0.1,0.15,,,,,,
Lorenz,ESN,1.6107280492466805e-05,[0.99999936 0.99998405 0.99996925],60.0,0.7,0.9,0.1,0.2,,,,,,
Lorenz,ESN,0.0006228965480497625,[0.99987975 0.99971932 0.99861428],60.0,0.7,0.9,0.5,0.0,,,,,,
Lorenz,ESN,0.000561637552154927,[0.99985284 0.99964129 0.99887148],60.0,0.7,0.9,0.5,0.05,,,,,,
Lorenz,ESN,0.00042191473379282025,[0.99987276 0.99983322 0.99906197],60.0,0.7,0.9,0.5,0.1,,,,,,
Lorenz,ESN,0.0005067495649411542,[0.99986407 0.9995532  0.99906303],60.0,0.7,0.9,0.5,0.15,,,,,,
Lorenz,ESN,0.0005163696806909355,[0.99985325 0.99962165 0.99903473],60.0,0.7,0.9,0.5,0.2,,,,,,
Lorenz,ESN,0.0032158924927584162,[0.99904615 0.99729796 0.99404093],60.0,0.7,0.9,1.0,0.0,,,,,,
Lorenz,ESN,0.0026725396242344426,[0.99889466 0.99759527 0.99542245],60.0,0.7,0.9,1.0,0.05,,,,,,
Lorenz,ESN,0.002829452209374346,[0.99865584 0.99849753 0.99447959],60.0,0.7,0.9,1.0,0.1,,,,,,
Lorenz,ESN,0.00335159592272515,[0.9983411  0.99853232 0.99333178],60.0,0.7,0.9,1.0,0.15,,,,,,
Lorenz,ESN,0.0038081751166932107,[0.99870178 0.99794113 0.99236129],60.0,0.7,0.9,1.0,0.2,,,,,,
Lorenz,ESN,0.0056034994939264445,[0.99495193 0.99636228 0.99156716],60.0,0.7,0.9,1.5,0.0,,,,,,
Lorenz,ESN,0.007182788198626739,[0.99520314 0.99687601 0.98642364],60.0,0.7,0.9,1.5,0.05,,,,,,
Lorenz,ESN,0.006180361500011657,[0.99410755 0.99748486 0.98976034],60.0,0.7,0.9,1.5,0.1,,,,,,
Lorenz,ESN,0.005656453008336041,[0.99605362 0.99728074 0.99020569],60.0,0.7,0.9,1.5,0.15,,,,,,
Lorenz,ESN,0.00592229907160973,[0.99671285 0.9960836  0.98985936],60.0,0.7,0.9,1.5,0.2,,,,,,
Lorenz,ESN,0.009631812726331571,[0.99051719 0.99421109 0.9856351 ],60.0,0.7,0.9,2.0,0.0,,,,,,
Lorenz,ESN,0.011905842676771356,[0.9918144  0.99501503 0.97751394],60.0,0.7,0.9,2.0,0.05,,,,,,
Lorenz,ESN,0.010856315107160784,[0.98926393 0.99538379 0.98238433],60.0,0.7,0.9,2.0,0.1,,,,,,
Lorenz,ESN,0.009890909823933158,[0.99148631 0.99519109 0.98380579],60.0,0.7,0.9,2.0,0.15,,,,,,
Lorenz,ESN,0.01012085917093452,[0.9923519  0.99379103 0.98355799],60.0,0.7,0.9,2.0,0.2,,,,,,
Lorenz,ESN,0.013917358219570524,[0.98778476 0.99200969 0.97771423],60.0,0.7,0.9,2.5,0.0,,,,,,
Lorenz,ESN,0.01690308733015714,[0.98776815 0.99220359 0.96934033],60.0,0.7,0.9,2.5,0.05,,,,,,
Lorenz,ESN,0.016021508890377758,[0.9839544  0.9924575  0.97461147],60.0,0.7,0.9,2.5,0.1,,,,,,
Lorenz,ESN,0.016181663438477767,[0.98484089 0.99274344 0.97331894],60.0,0.7,0.9,2.5,0.15,,,,,,
Lorenz,ESN,0.01705872658097918,[0.98447911 0.99111555 0.97274609],60.0,0.7,0.9,2.5,0.2,,,,,,
Lorenz,ESN,0.019625877169532176,[0.98324985 0.98901177 0.96808641],60.0,0.7,0.9,3.0,0.0,,,,,,
Lorenz,ESN,0.022806927616195866,[0.98206179 0.98893784 0.96032497],60.0,0.7,0.9,3.0,0.05,,,,,,
Lorenz,ESN,0.022351575273143923,[0.97688708 0.98897873 0.96559084],60.0,0.7,0.9,3.0,0.1,,,,,,
Lorenz,ESN,0.02295789511346456,[0.97770174 0.98949481 0.96281829],60.0,0.7,0.9,3.0,0.15,,,,,,
Lorenz,ESN,0.02457050838576254,[0.97554817 0.9884134  0.96132768],60.0,0.7,0.9,3.0,0.2,,,,,,
Lorenz,ESN,0.02544537805962926,[0.97712764 0.98549037 0.95981744],60.0,0.7,0.9,3.5,0.0,,,,,,
Lorenz,ESN,0.02844965429314762,[0.97541088 0.98569881 0.95268966],60.0,0.7,0.9,3.5,0.05,,,,,,
Lorenz,ESN,0.028401246451531387,[0.96943158 0.98553057 0.95759354],60.0,0.7,0.9,3.5,0.1,,,,,,
Lorenz,ESN,0.02934476974717178,[0.97080003 0.98517164 0.95417218],60.0,0.7,0.9,3.5,0.15,,,,,,
Lorenz,ESN,0.03165413239832263,[0.96701751 0.98497465 0.95123814],60.0,0.7,0.9,3.5,0.2,,,,,,
Lorenz,ESN,0.0302241463395441,[0.97059273 0.98194361 0.95469344],60.0,0.7,0.9,4.0,0.0,,,,,,
Lorenz,ESN,0.03344830780216706,[0.96852869 0.98230346 0.94706874],60.0,0.7,0.9,4.0,0.05,,,,,,
Lorenz,ESN,0.033741448281496215,[0.96237635 0.98189919 0.95131655],60.0,0.7,0.9,4.0,0.1,,,,,,
Lorenz,ESN,0.035097523091556206,[0.96463088 0.98036078 0.94708628],60.0,0.7,0.9,4.0,0.15,,,,,,
Lorenz,ESN,0.03788298105537429,[0.95993455 0.98059093 0.94306957],60.0,0.7,0.9,4.0,0.2,,,,,,
Lorenz,ESN,0.03428008028779205,[0.964322   0.97852274 0.95116668],60.0,0.7,0.9,4.5,0.0,,,,,,
Lorenz,ESN,0.03820272558400723,[0.96191809 0.97857425 0.94208673],60.0,0.7,0.9,4.5,0.05,,,,,,
Lorenz,ESN,0.03888722328774397,[0.9557567  0.97762743 0.94567543],60.0,0.7,0.9,4.5,0.1,,,,,,
Lorenz,ESN,0.04063522615209025,[0.95887856 0.97508023 0.94053885],60.0,0.7,0.9,4.5,0.15,,,,,,
Lorenz,ESN,0.04339728854602115,[0.95404877 0.97538451 0.9365302 ],60.0,0.7,0.9,4.5,0.2,,,,,,
Lorenz,ESN,0.038311007472735394,[0.95844636 0.97505853 0.94732112],60.0,0.7,0.9,5.0,0.0,,,,,,
Lorenz,ESN,0.043085185096092715,[0.95580095 0.97452485 0.93653343],60.0,0.7,0.9,5.0,0.05,,,,,,
Lorenz,ESN,0.04412639826483257,[0.94959983 0.97278064 0.93981268],60.0,0.7,0.9,5.0,0.1,,,,,,
Lorenz,ESN,0.04620286441475324,[0.95334617 0.96939341 0.93391234],60.0,0.7,0.9,5.0,0.15,,,,,,
Lorenz,ESN,0.04852312344559648,[0.94886989 0.96960064 0.93084303],60.0,0.7,0.9,5.0,0.2,,,,,,
Lorenz,ESN,5.2020918345601726e-05,[0.99998765 0.99992669 0.99992466],60.0,0.7,0.95,0.1,0.0,,,,,,
Lorenz,ESN,2.7833718761146747e-05,[0.99999808 0.9999498  0.99996799],60.0,0.7,0.95,0.1,0.05,,,,,,
Lorenz,ESN,2.681180947061174e-05,[0.9999979  0.9999703  0.99995127],60.0,0.7,0.95,0.1,0.1,,,,,,
Lorenz,ESN,5.786506537352494e-05,[0.99999487 0.99988899 0.99994573],60.0,0.7,0.95,0.1,0.15,,,,,,
Lorenz,ESN,3.0468758205937766e-05,[0.99999835 0.99996989 0.9999452 ],60.0,0.7,0.95,0.1,0.2,,,,,,
Lorenz,ESN,0.0007056139774770852,[0.9998228  0.99976676 0.9983919 ],60.0,0.7,0.95,0.5,0.0,,,,,,
Lorenz,ESN,0.0006094370095717132,[0.99984288 0.99966445 0.99872465],60.0,0.7,0.95,0.5,0.05,,,,,,
Lorenz,ESN,0.0005276401423568248,[0.99985395 0.99977342 0.99883884],60.0,0.7,0.95,0.5,0.1,,,,,,
Lorenz,ESN,0.0006505621411815751,[0.99984086 0.99933191 0.99885923],60.0,0.7,0.95,0.5,0.15,,,,,,
Lorenz,ESN,0.0006148480167523974,[0.99982905 0.99935509 0.99898955],60.0,0.7,0.95,0.5,0.2,,,,,,
Lorenz,ESN,0.003596444894859573,[0.99895737 0.99700376 0.99335481],60.0,0.7,0.95,1.0,0.0,,,,,,
Lorenz,ESN,0.0030819545308241997,[0.9987558  0.99702568 0.99485143],60.0,0.7,0.95,1.0,0.05,,,,,,
Lorenz,ESN,0.003145940917993223,[0.99847075 0.99829617 0.99401935],60.0,0.7,0.95,1.0,0.1,,,,,,
Lorenz,ESN,0.003929248219345582,[0.99803504 0.99828269 0.99213485],60.0,0.7,0.95,1.0,0.15,,,,,,
Lorenz,ESN,0.004518279201462838,[0.99844519 0.99774569 0.99078872],60.0,0.7,0.95,1.0,0.2,,,,,,
Lorenz,ESN,0.0056503855938584225,[0.99523399 0.99603791 0.99148178],60.0,0.7,0.95,1.5,0.0,,,,,,
Lorenz,ESN,0.007207332388394396,[0.99509702 0.99667114 0.9865988 ],60.0,0.7,0.95,1.5,0.05,,,,,,
Lorenz,ESN,0.006310075910875459,[0.9938452  0.99732203 0.9897201 ],60.0,0.7,0.95,1.5,0.1,,,,,,
Lorenz,ESN,0.005909544283149114,[0.9959738  0.9971103  0.98971048],60.0,0.7,0.95,1.5,0.15,,,,,,
Lorenz,ESN,0.006622473992419305,[0.99669202 0.99564311 0.98843827],60.0,0.7,0.95,1.5,0.2,,,,,,
Lorenz,ESN,0.00990337837227617,[0.98971169 0.99383113 0.98591312],60.0,0.7,0.95,2.0,0.0,,,,,,
Lorenz,ESN,0.012195424907898322,[0.9911925  0.99490432 0.9772757 ],60.0,0.7,0.95,2.0,0.05,,,,,,
Lorenz,ESN,0.011088951673175047,[0.98870222 0.99534351 0.98232697],60.0,0.7,0.95,2.0,0.1,,,,,,
Lorenz,ESN,0.009660612717117177,[0.99181252 0.99515741 0.98435523],60.0,0.7,0.95,2.0,0.15,,,,,,
Lorenz,ESN,0.010229661832554932,[0.9929154  0.9933952  0.98329595],60.0,0.7,0.95,2.0,0.2,,,,,,
Lorenz,ESN,0.014016324193895167,[0.98689102 0.99176795 0.97838617],60.0,0.7,0.95,2.5,0.0,,,,,,
Lorenz,ESN,0.016961397058273223,[0.98739036 0.99220829 0.96945725],60.0,0.7,0.95,2.5,0.05,,,,,,
Lorenz,ESN,0.016019156414859386,[0.98343903 0.99250486 0.97502388],60.0,0.7,0.95,2.5,0.1,,,,,,
Lorenz,ESN,0.01574007101558127,[0.9850849  0.99268941 0.97450394],60.0,0.7,0.95,2.5,0.15,,,,,,
Lorenz,ESN,0.016569673865678643,[0.98549478 0.99086292 0.97357254],60.0,0.7,0.95,2.5,0.2,,,,,,
Lorenz,ESN,0.019339717758662542,[0.9829239  0.98902648 0.9691286 ],60.0,0.7,0.95,3.0,0.0,,,,,,
Lorenz,ESN,0.022635379113380497,[0.98204456 0.98890174 0.9608621 ],60.0,0.7,0.95,3.0,0.05,,,,,,
Lorenz,ESN,0.021961794932333904,[0.97673884 0.98907966 0.96671892],60.0,0.7,0.95,3.0,0.1,,,,,,
Lorenz,ESN,0.02236660753057799,[0.97800657 0.98979164 0.96402217],60.0,0.7,0.95,3.0,0.15,,,,,,
Lorenz,ESN,0.02395584564977705,[0.97649272 0.98834682 0.96237459],60.0,0.7,0.95,3.0,0.2,,,,,,
Lorenz,ESN,0.025117424337968545,[0.9772906  0.98567005 0.96048114],60.0,0.7,0.95,3.5,0.0,,,,,,
Lorenz,ESN,0.028232063076286836,[0.97576871 0.98567079 0.95310073],60.0,0.7,0.95,3.5,0.05,,,,,,
Lorenz,ESN,0.027902610031706323,[0.96969271 0.98565793 0.95870706],60.0,0.7,0.95,3.5,0.1,,,,,,
Lorenz,ESN,0.028691092962758832,[0.97131343 0.98576966 0.95512241],60.0,0.7,0.95,3.5,0.15,,,,,,
Lorenz,ESN,0.031094457560365968,[0.96786714 0.98523262 0.95197193],60.0,0.7,0.95,3.5,0.2,,,,,,
Lorenz,ESN,0.030018483318311667,[0.97102835 0.98219137 0.95479105],60.0,0.7,0.95,4.0,0.0,,,,,,
Lorenz,ESN,0.033183824080260764,[0.969203   0.98243707 0.9472725 ],60.0,0.7,0.95,4.0,0.05,,,,,,
Lorenz,ESN,0.03316084563340022,[0.96303987 0.98227185 0.95217797],60.0,0.7,0.95,4.0,0.1,,,,,,
Lorenz,ESN,0.03434359064704595,[0.96543379 0.98121986 0.947892  ],60.0,0.7,0.95,4.0,0.15,,,,,,
Lorenz,ESN,0.03742629174789089,[0.96071511 0.98124168 0.94326977],60.0,0.7,0.95,4.0,0.2,,,,,,
Lorenz,ESN,0.03405751045150961,[0.96495535 0.97885155 0.95113784],60.0,0.7,0.95,4.5,0.0,,,,,,
Lorenz,ESN,0.03776686953547141,[0.96286922 0.97896528 0.9423793 ],60.0,0.7,0.95,4.5,0.05,,,,,,
Lorenz,ESN,0.03815257351333465,[0.95675005 0.97836819 0.94643846],60.0,0.7,0.95,4.5,0.1,,,,,,
Lorenz,ESN,0.039716780798357096,[0.96001077 0.97624008 0.94135339],60.0,0.7,0.95,4.5,0.15,,,,,,
Lorenz,ESN,0.04295505506225443,[0.95496482 0.97643674 0.93630114],60.0,0.7,0.95,4.5,0.2,,,,,,
Lorenz,ESN,0.037894037959952116,[0.95929211 0.97554873 0.94758053],60.0,0.7,0.95,5.0,0.0,,,,,,
