dataset,label,nmse,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
Double-scroll,ESN,0.013342910777746554,[0.99464428 0.9718456  0.98228075],40.0,0.7,0.85,3.5,0.1,,,,,,
Double-scroll,ESN,0.013719694079623892,[0.9946804  0.97216541 0.98133764],40.0,0.7,0.85,3.5,0.15,,,,,,
Double-scroll,ESN,0.014212087717482863,[0.99508385 0.97393636 0.97954852],40.0,0.7,0.85,3.5,0.2,,,,,,
Double-scroll,ESN,0.015390805306924249,[0.99455836 0.97143768 0.97799097],40.0,0.7,0.85,4.0,0.0,,,,,,
Double-scroll,ESN,0.01487725876256804,[0.99427643 0.97042286 0.97962914],40.0,0.7,0.85,4.0,0.05,,,,,,
Double-scroll,ESN,0.014980013162044493,[0.99342548 0.96644424 0.98112034],40.0,0.7,0.85,4.0,0.1,,,,,,
Double-scroll,ESN,0.015168739448064619,[0.9936625  0.96689825 0.98032235],40.0,0.7,0.85,4.0,0.15,,,,,,
Double-scroll,ESN,0.016076959617143016,[0.99388321 0.96787586 0.97797632],40.0,0.7,0.85,4.0,0.2,,,,,,
Double-scroll,ESN,0.01712861284332438,[0.99347809 0.96653464 0.97630107],40.0,0.7,0.85,4.5,0.0,,,,,,
Double-scroll,ESN,0.016110382385862716,[0.99337633 0.96602722 0.97876711],40.0,0.7,0.85,4.5,0.05,,,,,,
Double-scroll,ESN,0.01642438059805248,[0.99221649 0.96186884 0.98017123],40.0,0.7,0.85,4.5,0.1,,,,,,
Double-scroll,ESN,0.016350912418127365,[0.99274181 0.9627169  0.979557  ],40.0,0.7,0.85,4.5,0.15,,,,,,
Double-scroll,ESN,0.017469005029864832,[0.99285332 0.96330619 0.97692806],40.0,0.7,0.85,4.5,0.2,,,,,,
Double-scroll,ESN,0.018632487400135234,[0.99231564 0.9619521  0.97511523],40.0,0.7,0.85,5.0,0.0,,,,,,
Double-scroll,ESN,0.017236267385287718,[0.99241163 0.96229722 0.97806048],40.0,0.7,0.85,5.0,0.05,,,,,,
Double-scroll,ESN,0.0178276943579263,[0.99092801 0.95777378 0.97927044],40.0,0.7,0.85,5.0,0.1,,,,,,
Double-scroll,ESN,0.017460256429212773,[0.99180771 0.95921201 0.97881902],40.0,0.7,0.85,5.0,0.15,,,,,,
Double-scroll,ESN,0.018565341301116367,[0.99192432 0.95957686 0.97622591],40.0,0.7,0.85,5.0,0.2,,,,,,
Double-scroll,ESN,0.0005415224510114849,[0.99920557 0.99838041 0.99993405],40.0,0.7,0.9,0.1,0.0,,,,,,
Double-scroll,ESN,0.0004851219169322314,[0.99927769 0.99851834 0.99993945],40.0,0.7,0.9,0.1,0.05,,,,,,
Double-scroll,ESN,0.0005953176321263304,[0.99911518 0.9984264  0.99992637],40.0,0.7,0.9,0.1,0.1,,,,,,
Double-scroll,ESN,0.0008823864075840381,[0.99861567 0.99773832 0.99987303],40.0,0.7,0.9,0.1,0.15,,,,,,
Double-scroll,ESN,0.0008154031176147087,[0.99876721 0.99784332 0.99987083],40.0,0.7,0.9,0.1,0.2,,,,,,
Double-scroll,ESN,0.00021735868442354848,[0.99984893 0.99920241 0.99983767],40.0,0.7,0.9,0.5,0.0,,,,,,
Double-scroll,ESN,0.00026044463802476787,[0.99982887 0.99918621 0.99976535],40.0,0.7,0.9,0.5,0.05,,,,,,
Double-scroll,ESN,0.0003615420122568499,[0.99983017 0.99872021 0.99964134],40.0,0.7,0.9,0.5,0.1,,,,,,
Double-scroll,ESN,0.00031226164150350644,[0.99979824 0.9986329  0.99979494],40.0,0.7,0.9,0.5,0.15,,,,,,
Double-scroll,ESN,0.0002724872614807175,[0.99985947 0.99886337 0.99977998],40.0,0.7,0.9,0.5,0.2,,,,,,
Double-scroll,ESN,0.001024935992774874,[0.99948871 0.99651983 0.99899491],40.0,0.7,0.9,1.0,0.0,,,,,,
