taskType,label,accuracy,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
XOR,ESN,0.6666666666666666,0.020125132053850543,3.0,0.7,0.9,0.1,0.0,,,,,,
XOR,ESN,0.2,0.05320764556214392,3.0,0.7,0.9,0.1,0.05,,,,,,
XOR,ESN,0.5666666666666667,0.0004809165418054743,3.0,0.7,0.9,0.1,0.1,,,,,,
XOR,ESN,0.9,0.3177652418108639,3.0,0.7,0.9,0.1,0.15,,,,,,
XOR,ESN,0.5,0.0011573346088099333,3.0,0.7,0.9,0.1,0.2,,,,,,
XOR,ESN,0.5,0.13075589842621443,3.0,0.7,0.9,0.5,0.0,,,,,,
XOR,ESN,0.7333333333333333,0.15123031239641815,3.0,0.7,0.9,0.5,0.05,,,,,,
XOR,ESN,0.5666666666666667,0.016331139831919236,3.0,0.7,0.9,0.5,0.1,,,,,,
XOR,ESN,0.8,0.2663177946029019,3.0,0.7,0.9,0.5,0.15,,,,,,
XOR,ESN,0.9,0.5244895903490733,3.0,0.7,0.9,0.5,0.2,,,,,,
XOR,ESN,0.5666666666666667,0.09855673831893276,3.0,0.7,0.9,1.0,0.0,,,,,,
XOR,ESN,0.5333333333333333,0.11624258143580621,3.0,0.7,0.9,1.0,0.05,,,,,,
XOR,ESN,0.6666666666666666,0.19042231704142182,3.0,0.7,0.9,1.0,0.1,,,,,,
XOR,ESN,0.8,0.17735171931712243,3.0,0.7,0.9,1.0,0.15,,,,,,
XOR,ESN,0.7333333333333333,0.32054581006702504,3.0,0.7,0.9,1.0,0.2,,,,,,
XOR,ESN,0.7333333333333333,0.2804100071384355,3.0,0.7,0.9,1.5,0.0,,,,,,
XOR,ESN,0.7666666666666667,0.35725140345275214,3.0,0.7,0.9,1.5,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.1680545405047384,3.0,0.7,0.9,1.5,0.1,,,,,,
XOR,ESN,0.6666666666666666,0.2802538003424238,3.0,0.7,0.9,1.5,0.15,,,,,,
XOR,ESN,0.8333333333333334,0.550461930683798,3.0,0.7,0.9,1.5,0.2,,,,,,
XOR,ESN,0.7333333333333333,0.19772304727338852,3.0,0.7,0.9,2.0,0.0,,,,,,
XOR,ESN,0.8333333333333334,0.314647946461063,3.0,0.7,0.9,2.0,0.05,,,,,,
XOR,ESN,0.8,0.33789599759970956,3.0,0.7,0.9,2.0,0.1,,,,,,
XOR,ESN,0.7333333333333333,0.4847742327096404,3.0,0.7,0.9,2.0,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.7399363861360119,3.0,0.7,0.9,2.0,0.2,,,,,,
XOR,ESN,0.8333333333333334,0.3147889605395398,3.0,0.7,0.9,2.5,0.0,,,,,,
XOR,ESN,0.6666666666666666,0.21874736313147614,3.0,0.7,0.9,2.5,0.05,,,,,,
XOR,ESN,0.7666666666666667,0.37196705793170737,3.0,0.7,0.9,2.5,0.1,,,,,,
XOR,ESN,0.7333333333333333,0.4782071885111614,3.0,0.7,0.9,2.5,0.15,,,,,,
XOR,ESN,1.0,0.6998546750244693,3.0,0.7,0.9,2.5,0.2,,,,,,
XOR,ESN,0.7,0.2563968167064979,3.0,0.7,0.9,3.0,0.0,,,,,,
XOR,ESN,0.7666666666666667,0.2578744939004839,3.0,0.7,0.9,3.0,0.05,,,,,,
XOR,ESN,0.6,0.31851505582344253,3.0,0.7,0.9,3.0,0.1,,,,,,
XOR,ESN,0.8,0.5953501049407145,3.0,0.7,0.9,3.0,0.15,,,,,,
XOR,ESN,0.9333333333333333,0.7462414793802461,3.0,0.7,0.9,3.0,0.2,,,,,,
XOR,ESN,0.6333333333333333,0.33326942734319354,3.0,0.7,0.9,3.5,0.0,,,,,,
XOR,ESN,0.8,0.275342042001308,3.0,0.7,0.9,3.5,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.43440233563863284,3.0,0.7,0.9,3.5,0.1,,,,,,
XOR,ESN,0.8,0.5415166306557699,3.0,0.7,0.9,3.5,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.7311553353471594,3.0,0.7,0.9,3.5,0.2,,,,,,
XOR,ESN,0.9333333333333333,0.3917402254609688,3.0,0.7,0.9,4.0,0.0,,,,,,
XOR,ESN,0.9,0.3898490644239643,3.0,0.7,0.9,4.0,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.3944723025669299,3.0,0.7,0.9,4.0,0.1,,,,,,
XOR,ESN,0.7,0.40800334104510405,3.0,0.7,0.9,4.0,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.7389773292007866,3.0,0.7,0.9,4.0,0.2,,,,,,
XOR,ESN,0.9,0.497790519495627,3.0,0.7,0.9,4.5,0.0,,,,,,
XOR,ESN,0.8666666666666667,0.5001300967449526,3.0,0.7,0.9,4.5,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.48281063606812696,3.0,0.7,0.9,4.5,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.5293986409372603,3.0,0.7,0.9,4.5,0.15,,,,,,
XOR,ESN,0.9,0.6811056456714434,3.0,0.7,0.9,4.5,0.2,,,,,,
XOR,ESN,0.5,0.3015290382509816,3.0,0.7,0.9,5.0,0.0,,,,,,
XOR,ESN,0.8333333333333334,0.42479433823201423,3.0,0.7,0.9,5.0,0.05,,,,,,
XOR,ESN,0.7333333333333333,0.5736907575954131,3.0,0.7,0.9,5.0,0.1,,,,,,
XOR,ESN,0.9,0.3969081189324788,3.0,0.7,0.9,5.0,0.15,,,,,,
XOR,ESN,1.0,0.6808825702303121,3.0,0.7,0.9,5.0,0.2,,,,,,
XOR,ESN,0.43333333333333335,8.943265747381795e-05,3.0,0.7,0.95,0.1,0.0,,,,,,
XOR,ESN,0.36666666666666664,0.02280355077793964,3.0,0.7,0.95,0.1,0.05,,,,,,
XOR,ESN,0.26666666666666666,0.05771467417686843,3.0,0.7,0.95,0.1,0.1,,,,,,
XOR,ESN,0.1,0.1267040906646816,3.0,0.7,0.95,0.1,0.15,,,,,,
XOR,ESN,0.5,0.04294312438194408,3.0,0.7,0.95,0.1,0.2,,,,,,
XOR,ESN,0.7333333333333333,0.11077372569475052,3.0,0.7,0.95,0.5,0.0,,,,,,
XOR,ESN,0.7,0.14410485584951258,3.0,0.7,0.95,0.5,0.05,,,,,,
XOR,ESN,0.6,0.09747422414696204,3.0,0.7,0.95,0.5,0.1,,,,,,
XOR,ESN,0.6333333333333333,0.11408652103441327,3.0,0.7,0.95,0.5,0.15,,,,,,
XOR,ESN,0.43333333333333335,0.0007358270933123217,3.0,0.7,0.95,0.5,0.2,,,,,,
XOR,ESN,0.6,0.05570139163765966,3.0,0.7,0.95,1.0,0.0,,,,,,
XOR,ESN,0.4666666666666667,0.008115795812970596,3.0,0.7,0.95,1.0,0.05,,,,,,
XOR,ESN,0.6666666666666666,0.16032624978957336,3.0,0.7,0.95,1.0,0.1,,,,,,
XOR,ESN,0.7333333333333333,0.4111076714381026,3.0,0.7,0.95,1.0,0.15,,,,,,
XOR,ESN,0.7333333333333333,0.2684731687650029,3.0,0.7,0.95,1.0,0.2,,,,,,
XOR,ESN,0.6,0.051269877780056004,3.0,0.7,0.95,1.5,0.0,,,,,,
XOR,ESN,0.6666666666666666,0.132842294377058,3.0,0.7,0.95,1.5,0.05,,,,,,
XOR,ESN,0.6666666666666666,0.12058289316912492,3.0,0.7,0.95,1.5,0.1,,,,,,
XOR,ESN,0.8333333333333334,0.4061813879330088,3.0,0.7,0.95,1.5,0.15,,,,,,
